[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,___,___,___,___,___,___,d83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,d83,xxx,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,d83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,d83,xxx,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,xxx,d83,___,___,___,___,d83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,d83,xxx,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,___,___,___,___,d83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,d83,xxx,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,___,___,___,d83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,d83,xxx,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,___,___,d83,xxx,xxx,d83,d83,d83,d83,d83,d83,___,___,___,___,___,___,___,d83,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,___,___,d83,xxx,d83,___,___,___,___,___,___,___,___,___,___,___,___,___,d83,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,d83,d83,xxx,xxx,d83,___,___,___,___,___,___,___,___,___,___,___,___,___,d83,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,___,___,___,___,___,___,d83,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___,___],
[___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_8_,xxx,xxx,xxx,xxx,xxx,xxx,d83,___,___,___,___,___,___,___,___,___,___,___,___,___,d83,xxx,xxx,_8_,___,___,___,___,___,___,___,___,___,___,___,___,___,___],
